Recieve Wallet,TGE (25%),Vesting,Total (HE)
0x8e07c53632476666309f6B934aD52c367F7Ca917,"2,500","7,500","10,000"
0x8a92e3B53E8615d744b936CA4cFA0c1cE8Da6A46,"2,500","7,500","10,000"
0xB6c23Fc5b4E9F6AEf65214C6C6d9984f731d0C0f,"2,500","7,500","10,000"
0xD5Ae8c8675818b09b9e0544A92316Baf5093F1cD,"2,500","7,500","10,000"
0xC98b919acdd9b0A0EAe5F37aC3b6c8DBA038800c,"2,500","7,500","10,000"
0xEA89C3135f0e98dfD2364B8e4A4CcA3ec81FBF1e,"2,500","7,500","10,000"
0x65a3851BF94B53086a944F7bb24379335feDdB32,"2,500","7,500","10,000"
0xC063BB2ed27d82cd56bF98822FD3e934d75F90c1,"2,500","7,500","10,000"
0x8EF75196465114779d2b964cE8972319A22421c9,"2,500","7,500","10,000"
0x5c18465D07900FCC46195a06C1d0e74896F6bBC3,"2,500","7,500","10,000"
0x85e5E222bFDcDB6a326b9E6dEd811fde05e72097,"2,500","7,500","10,000"
0x3C8A05355aeA473Ccc69a2D23Ced73bE4fBd9860,"2,500","7,500","10,000"
0x36C35283007f041AC8f113c0e2822690D70789C6,"2,500","7,500","10,000"
0x07C415e6488dF2f8c0c4446F763b41A2ef292326,"2,500","7,500","10,000"
0xFA4937670686c09F180C71a9b93e2FfCC3A79F47,"2,500","7,500","10,000"
0xD1a06dB50b8eb5dc32D69282B850eEfD763CC458,"2,500","7,500","10,000"
0xd2783454EcEcD2050d9CB384bE694092e001e0DD,"2,500","7,500","10,000"
0xa75F9C8246f7269279bE4c969e7Bc6Eb619cC204,"2,500","7,500","10,000"
0x1338059e8d7a8883c1CA5Aea71206c3DAD69965d,"2,500","7,500","10,000"
0xB8679f9e71595D7B4736b145E1cCd0696C839799,"2,500","7,500","10,000"
0xa72F929793542DEB56a765375475BEBF8BC7eE0E,"2,500","7,500","10,000"
0x6B3B81076fAbe7F765CAA324AB651413e29743Be,"2,500","7,500","10,000"
0x25e7E89233f751c53442149550B0176f8532EcB1,"2,500","7,500","10,000"
0xF272b473Cf071627912418842a0EA3c4E612884c,"2,500","7,500","10,000"
0xf8c66F3C95D2BA111EF10b45BFa39E1c93e00000,"2,500","7,500","10,000"
0x3Bf4ff0015Ca0ff04a9AB1C6d3e56c21Ca0da45d,"2,500","7,500","10,000"
0x2D369ba72955a17Bb79094F81ff0113e4B190791,"2,500","7,500","10,000"
0xb53DFd54C63A4F4c27eE4eaE81015b882d4a0039,"2,500","7,500","10,000"
0x4d1DDb125A4DBb76BC11b42cF9C544375B20Ebea,"2,500","7,500","10,000"
0x7d0c2019f21dfA60D198eb37ecCA6a2F07B606C2,"2,500","7,500","10,000"
0xb43D5a83e4e668E0a1632589B53a2491958dbCC3,"2,500","7,500","10,000"
0x7d2EFa6137a0D92dbf38E0d5B5fc6a69C7b983e8,"2,500","7,500","10,000"
0x2bd8F7Fd45BdDa6B0073A66eEb50D7540caaACB4,"2,500","7,500","10,000"